カーリングＷ杯 女子日本代表のロコ・ソラーレが初優勝,2018年12月10日,今シーズンから新しく始まったカーリングのワールドカップの第２戦がアメリカで行われ、女子の日本代表として出場したロコ・ソラーレが決勝で韓国に勝って、ワールドカップで初めて優勝しました。カーリングのワールドカップは今シーズンから新しく始まった大会で、世界ランキングの上位チームなど合わせて８チームが出場します。女子の日本代表は、ことし２月にピョンチャンオリンピックで銅メダルを獲得したロコ・ソラーレで、アメリカのネブラスカ州で行われた第２戦で９日の決勝に臨み、先月のパシフィックアジア選手権で敗れた韓国と対戦しました。ロコ・ソラーレは２点リードの第２エンドに４点を失って逆転され、その後は点を取り合う展開になりました。１点を追う最終の第８エンドは不利な先攻ながら２点をスチールして逆転し、７対６で勝ってワールドカップで初めて優勝しました。ワールドカップの第３戦は来年１月から２月にかけてスウェーデンで行われ、それぞれの優勝チームなどが来年５月に中国の北京で行われるグランドファイナルに出場します。
証券取引等監視委員会がゴーン前会長らを告発,2018年12月10日,日産自動車のカルロス・ゴーン前会長（64）について証券取引等監視委員会は有価証券報告書にみずからの報酬を50億円余り少なく記載していたとしてグレッグ・ケリー前代表取締役（62）や法人としての日産とともに金融商品取引法違反の疑いで東京地検特捜部に刑事告発しました。特捜部は10日、ゴーン前会長らを起訴するものとみられます。関係者によりますと調べに対しゴーン前会長らは「退任後の報酬は正式には決まっていなかった」などと供述し、いずれも容疑を否認しているということです。
福島 猪苗代町のスキー場が２週間遅れでオープン,2018年12月10日,雪不足でオープンが遅れていた福島県猪苗代町のスキー場はここ数日の積雪でゲレンデで滑れるようになり10日、予定より２週間以上遅れてオープンしました。
北海道 桧山地方で竜巻発生か,2018年12月10日,気象庁は、北海道の桧山地方で竜巻などの突風が発生したと見られるとして、さきほど午後０時36分、「竜巻注意情報」を発表しました。気象庁によりますと、北海道の桧山地方では竜巻などの突風が発生したとみられます。桧山地方では竜巻などの激しい突風がさらに発生するおそれが非常に高くなっています。竜巻などの突風は、発達した積乱雲が近づいたときに発生します。気象庁は、雷や急な風の変化、それに「ひょう」が降るなど、積乱雲が近づく兆しがある場合は突風に十分注意し、頑丈な建物などの中で安全を確保するよう呼びかけています。
灯台にサンタと雪だるまの飾りつけ「ほっこりして」福岡,2018年12月10日,福岡市の博多港の沖合にある灯台に、恒例のサンタクロースと雪だるまの飾りつけが完成し、クリスマス気分を盛り上げています。博多港の中央ふ頭の沖、およそ２キロの防波堤にある赤い灯台では、福岡海上保安部の職員たちが手作りのひげや眉を付けて、サンタクロースの格好になりました。その向かいある白い灯台では、雪だるまの装飾が施され、出港する船の安全を祈ることを意味する国際信号旗が掲げられています。飾りつけは、平成17年の福岡県西方沖地震のあと、港を行き交う人たちを元気づけようと始まり、ことしは、明治元年に日本初の洋式灯台の建設が始まってから150年の節目を迎えることから記念の横断幕も掲げられています。福岡海上保安部の田村浩太交通課長は「サンタ灯台を見て、港を利用する人たちがほっこりした気持ちになってもらえればと思います」と話していました。サンタクロースと雪だるまの飾りつけは、クリスマスの今月25日まで見ることができます。
20歳女性の遺体遺棄容疑で27歳男を逮捕 警視庁,2018年12月10日,東京 練馬区に住む専門学校生の20歳の女性とみられる遺体を福島県いわき市まで車で運んで遺棄したとして、27歳の男が警視庁に逮捕されました。警視庁は、女性と男との関係や、女性が死亡した経緯についても調べています。逮捕されたのは、住所不定の無職、熊澤義信容疑者（27）です。警視庁によりますと、今月３日から９日にかけて、東京練馬区平和台の建物から女性の遺体を運び出し、乗用車の後部座席に乗せて福島県いわき市まで運んで遺棄した疑いが持たれています。この建物は専門学校の学生寮として使われていたということで、警視庁は、女性はここに住む専門学校生の谷口夏希さん（20）とみて、確認を進めています。警視庁によりますと、熊澤容疑者の車はいわき市内の健康ランドの駐車場で見つかり、捜査員が職務質問したところ、後部座席から布団をかけられた状態の女性の遺体が見つかったということです。警視庁の調べに対し、熊澤容疑者は「間違いありません」と供述し、容疑を認めているということです。警視庁は、女性と熊澤容疑者との関係や、女性が死亡した経緯についても調べています。
大リーグ 移籍交渉始まる 西武 菊池の交渉に注目,2018年12月10日,大リーグの球団幹部や選手の代理人などが集まって選手の移籍交渉などを行うウインターミーティングが９日からアメリカのラスベガスで始まり、大リーグ挑戦を目指す西武の菊池雄星投手の移籍交渉が進展するか注目されます。毎年12月に開催されるウインターミーティングは、ことしはネバダ州ラスベガスのリゾートホテルで開催され、今月13日までの期間中、各球団や選手の代理人は、用意したホテルの部屋などで選手の移籍交渉を集中的に行います。初日となった９日は、マリナーズやエンジェルスなどの球団幹部が次々と現地に入り、大リーグ挑戦を目指す西武の菊池投手の代理人を務めるスコット・ボラス氏も移籍交渉を行うホテルに入りました。菊池投手はポスティングシステムを使って代理人を通じた移籍交渉を行っていて、大リーグのすべての球団と交渉を行える期限は来年の１月２日までとなっています。大リーグの移籍市場ではこれまでに、交渉に時間がかかると見られていた有力な選手たちの移籍先が次々と決まっていて、菊池投手の移籍交渉にも進展があるか注目されます。
自民 二階幹事長 高血圧症状で検査入院,2018年12月10日,インフルエンザと診断され、療養していた自民党の二階幹事長は、高血圧の症状がみられたため、10日、東京都内の病院に検査入院しました。自民党の二階幹事長は、先週、インフルエンザと診断されたため、党務を控えて自宅で療養していました。自民党によりますと、その後、熱は下がって回復したということですが、病院での診察で、高血圧の症状がみられたため、10日、東京都内の病院に検査入院したということです。このため、二階氏は、10日も衆議院本会議を欠席しました。二階氏の入院は１週間程度の予定で、「人間ドック」も受けるということです。
循環器病対策基本法成立 国などは心臓病や脳卒中の予防対策へ,2018年12月10日,日本人の死因でがんに次いで多い、心臓病や脳卒中などを予防するため、国や自治体に対し、生活習慣の改善にむけた対策や、医療体制の整備などを求める、「循環器病対策基本法」が、10日の衆議院本会議で、全会一致で可決され、成立しました。厚生労働省によりますと、心臓病や脳卒中などの循環器の病気は、喫煙や過度な飲酒、運動不足など生活習慣を見直すことで発症のリスクを下げられますが、患者は増加傾向にあり、日本人の死因では、がんに次いで多くなっています。このため、「循環器病対策基本法」では、国や自治体などに対し、病気の予防に向け、生活習慣の改善の呼びかけや高血圧などの影響を周知するほか、地域にかかわらず、患者を迅速に搬送し、医療機関で必要な措置が受けられる医療体制の整備や、救急救命士や医療関係者らへの研修などに取り組むよう求めています。そのうえで、こうした内容を盛り込んだ基本計画を策定し、少なくとも６年ごとに、見直しを検討するよう義務づけています。法律は10日の衆議院本会議で採決が行われ、全会一致で可決され、成立しました。
“世界最大のテューバ合奏” 835人がクリスマス曲を演奏,2018年12月10日,クリスマス気分を盛り上げようとアメリカで800人を超すテューバ奏者がおなじみの曲を合奏するユニークなイベントが開かれ、子どもからお年寄りまで集まったテューバ自慢が迫力ある重低音を響かせました。「テューバ・クリスマス」と名付けられたユニークな演奏会は、アメリカ中西部ミズーリ州のカンザスシティーにある交響楽団が開きました。今月７日、市の公共施設にはアメリカ各地からテューバ奏者ばかり835人が集まりました。地元メディアによりますと、参加したのは、11歳の子どもから86歳のお年寄りまで幅広く、１時間にわたって「きよしこの夜」などおなじみのクリスマスの曲を、迫力ある重低音で響かせました。テューバ奏者ばかりを集めた合奏はこれまでおよそ500人が最高で今回の演奏会は「世界最大のテューバ合奏」として、ギネス世界記録に認定されました。
ガスト プラスチック製ストロー きょうから廃止,2018年12月10日,プラスチックごみによる海などの環境汚染が問題となる中、ファミリーレストランの「ガスト」は、10日からすべての店舗で、プラスチック製ストローの提供をやめました。
政府 通信機器調達でリスク考慮「ファーウェイ」事実上排除か,2018年12月10日,中国の通信機器大手「ファーウェイ」の幹部が逮捕される中、政府は、通信機器を調達する際、安全保障上のリスクも考慮して総合的に評価することを申し合わせました。政府は、特定の企業を排除するものではないとしていますが、「ファーウェイ」などが事実上、排除される見通しです。中国の通信機器大手「ファーウェイ」の幹部がアメリカの要請でカナダで逮捕されたことに、中国が強く反発するなど、アメリカと中国の間で対立が深まっています。こうした中、政府は10日、総理大臣官邸で、各府省庁の情報セキュリティーの責任者らを集めた会議を開き、サイバー攻撃による情報漏えいのリスクを避けるため、通信機器を調達する際の手続きを改めることを申し合わせました。具体的には、調達価格のみを基準としてきた従来の内規に加えて、来年度から、機器の開発や製造過程で悪意のある機能が組み込まれていないかなど、安全保障上のリスクも考慮して、総合的に評価するとしています。また、今年度までに調達した通信機器については、今後、安全保障上のリスクがあるかを点検するとしています。政府は、今回の見直しについて、特定の企業を排除するものではないとしていますが、政府関係者は「ファーウェイ」や「ＺＴＥ」は、事実上、排除されることになるだろうと話しています。
